r,n,lam_mean,lam_sem,mean_phi1_mean,mean_phi1_sem,mean_phi2_mean,mean_phi2_sem,mean_phi3_mean,mean_phi3_sem,mean_excess3_mean,mean_excess3_sem,highL3_mean,highL3_sem,f3_template_raw_mean,f3_template_raw_sem,f3_gibbs_raw_mean,f3_gibbs_raw_sem,f3_template_norm_mean,f3_template_norm_sem,f3_gibbs_norm_mean,f3_gibbs_norm_sem,a3_template_norm_mean,a3_template_norm_sem,a3_gibbs_norm_mean,a3_gibbs_norm_sem,delta_f3_TG
3.2,4,0.0,0.0,0.4179703796412182,0.07269751845872227,0.3188908010012516,0.010186754771065851,0.9924906132665833,0.0,1.7489104568780678,0.0026427259218256183,0.4336670838548185,0.011015811478275303,0.5772229126170468,0.02284230962311584,0.5772229126170468,0.02284230962311584,0.5772229126163713,0.02284230962306027,0.5772229126163713,0.02284230962306027,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
3.3,4,0.0,0.0,0.23453796412181893,0.019957537824299963,0.3373448581560283,0.002563009769425852,0.9924906132665833,0.0,1.752656755094032,8.271556063697903e-05,0.4635481852315394,0.0023138609915126724,0.6349066694119645,0.008795193040464675,0.6349066694119645,0.008795193040464675,0.6349066694111516,0.00879519304044186,0.6349066694111516,0.00879519304044186,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
3.45,4,0.0,0.0,0.24431581143095538,0.022521444473869338,0.31645155402586567,0.011416559861670415,0.9924906132665833,0.0,1.8239140441712345,0.00662251882182335,0.696808510638298,0.01531649143186549,0.6402144656697152,0.014386829513266633,0.6402144656697152,0.014386829513266633,0.6402144656688877,0.014386829513228729,0.6402144656688877,0.014386829513228729,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
3.57,4,0.0,0.0,0.3618585732165206,0.06008621174479001,0.37213574259491033,0.05620355447090339,0.9924906132665833,0.0,2.266020828456754,0.05504690624472694,0.9867021276595745,0.004159069160844339,0.5854400069748575,0.039276552219121845,0.5854400069748575,0.039276552219121845,0.5854400069741544,0.039276552219029315,0.5854400069741544,0.039276552219029315,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
3.7,4,0.4642857142857151,0.0,0.17065602836879432,0.0034200792251034527,0.20615743637880685,0.001967015051456337,0.9924906132665833,0.0,2.0688651579321315,0.005438842073065235,0.9616708385481854,0.0029299625782741043,0.8704517158696813,0.001263389462721234,0.872438807275651,0.0013983373214882795,0.8704517158686229,0.0012633894627181543,0.8724388072745018,0.0013983373214846084,0.5745020238238336,0.0,0.572499416841579,0.0,-0.001987091405878938
3.85,4,1.0,0.0,0.2703118481435127,0.0022851451861400306,0.2965660200250313,0.0017140305724685826,0.9924906132665833,0.0,1.8564550623414098,0.0024877619087497437,0.8232165206508135,0.005181631777746943,0.8844503922097176,0.0005449079781312767,0.9257262779135157,0.0002960548712493229,0.8844503922087146,0.000544907978130049,0.9257262779124598,0.0002960548712486242,0.6948195759865318,0.0,0.7855970345892759,0.0,-0.041275885703745185
