r,seed,lam,mean_phi1,mean_phi2,mean_phi3,mean_excess3,highL3,f3_template_raw,f3_gibbs_raw,f3_template_norm,f3_gibbs_norm,a3_template_norm,a3_gibbs_norm
3.2,0,0.0,0.16614518147684607,0.3535878181059658,0.9924906132665833,1.7423460325845728,0.40550688360450565,0.6563120723897669,0.6563120723897669,0.6563120723888989,0.6563120723888989,0.3333333333333333,0.3333333333333333
3.2,1,0.0,0.50177304964539,0.3093085106382979,0.9924906132665833,1.7515680147729313,0.4449311639549437,0.5502915978750929,0.5502915978750929,0.5502915978744827,0.5502915978744827,0.3333333333333333,0.3333333333333333
3.2,2,0.0,0.5005214851898206,0.30137150604922824,0.9924906132665833,1.7456697625294564,0.4211514392991239,0.5531094971966541,0.5531094971966541,0.5531094971960377,0.5531094971960377,0.3333333333333333,0.3333333333333333
3.2,3,0.0,0.503441802252816,0.3112953692115144,0.9924906132665833,1.7560580176253104,0.46307884856070086,0.5491784830066734,0.5491784830066734,0.5491784830060656,0.5491784830060656,0.3333333333333333,0.3333333333333333
3.3,0,0.0,0.16551939924906134,0.3345014601585315,0.9924906132665833,1.7527366308313739,0.4568210262828536,0.6649802238957963,0.6649802238957963,0.6649802238949053,0.6649802238949053,0.3333333333333333,0.3333333333333333
3.3,1,0.0,0.2601168126825198,0.3424541093032958,0.9924906132665833,1.7527711107970743,0.46871088861076343,0.6222271626084392,0.6222271626084392,0.622227162607659,0.622227162607659,0.3333333333333333,0.3333333333333333
3.3,2,0.0,0.2586566541510221,0.34205778055903213,0.9924906132665833,1.7523710266262686,0.4618272841051314,0.6229522147989792,0.6229522147989792,0.6229522147981973,0.6229522147981973,0.3333333333333333,0.3333333333333333
3.3,3,0.0,0.25385899040467247,0.33036608260325406,0.9924906132665833,1.7527482521214113,0.4668335419274093,0.6294670763446435,0.6294670763446435,0.6294670763438451,0.6294670763438451,0.3333333333333333,0.3333333333333333
3.45,0,0.0,0.16750104297037963,0.2817584480600751,0.9924906132665833,1.8085898795711228,0.6645807259073843,0.6883929540270842,0.6883929540270842,0.6883929540261294,0.6883929540261294,0.3333333333333333,0.3333333333333333
3.45,1,0.0,0.27284105131414266,0.3375,0.9924906132665833,1.8210280290079157,0.6902377972465582,0.6192107600554441,0.6192107600554441,0.6192107600546716,0.6192107600546716,0.3333333333333333,0.3333333333333333
3.45,2,0.0,0.2793074676679182,0.33642052565707137,0.9924906132665833,1.8209203807906498,0.6852315394242804,0.617136631300039,0.617136631300039,0.6171366312992717,0.6171366312992717,0.3333333333333333,0.3333333333333333
3.45,3,0.0,0.2576136837713809,0.3101272423863162,0.9924906132665833,1.8451178873152496,0.7471839799749687,0.6361175172962934,0.6361175172962934,0.636117517295478,0.636117517295478,0.3333333333333333,0.3333333333333333
3.57,0,0.0,0.24395077179808095,0.2595536086775136,0.9924906132665833,2.165951606125703,0.9893617021276596,0.6634317744494853,0.6634317744494853,0.6634317744485985,0.6634317744485985,0.3333333333333333,0.3333333333333333
3.57,1,0.0,0.2408218606591573,0.2614726741760534,0.9924906132665833,2.1463473060790412,0.9724655819774718,0.6639687412778142,0.6639687412778142,0.6639687412769258,0.6639687412769258,0.3333333333333333,0.3333333333333333
3.57,2,0.0,0.46307884856070086,0.46503441802252815,0.9924906132665833,2.3772248769817006,0.9924906132665833,0.5167596627700645,0.5167596627700645,0.5167596627695263,0.5167596627695263,0.3333333333333333,0.3333333333333333
3.57,3,0.0,0.49958281184814346,0.5024822695035461,0.9924906132665833,2.3745595246405724,0.9924906132665833,0.497599849402066,0.497599849402066,0.49759984940156704,0.49759984940156704,0.3333333333333333,0.3333333333333333
3.7,0,0.4642857142857151,0.16750104297037963,0.20419274092615772,0.9924906132665833,2.071440110525435,0.9687108886107635,0.8716841126157998,0.8737837241125659,0.8716841126147383,0.8737837241114133,0.5745020238238336,0.572499416841579
3.7,1,0.4642857142857151,0.16802252816020025,0.20462035878181062,0.9924906132665833,2.084051612025654,0.9655819774718398,0.8714316634497793,0.8735202292951375,0.8714316634487185,0.8735202292939855,0.5745020238238336,0.572499416841579
3.7,2,0.4642857142857151,0.16478931998331245,0.2029307467667918,0.9924906132665833,2.0537273187826135,0.9586983729662077,0.8725558485397459,0.8747867978571369,0.8725558485386823,0.8747867978559817,0.5745020238238336,0.572499416841579
3.7,3,0.4642857142857151,0.18231122236128494,0.21288589904046729,0.9924906132665833,2.0662415903948244,0.9536921151439299,0.8661352388734002,0.8676644778377636,0.8661352388723522,0.867664477836627,0.5745020238238336,0.572499416841579
3.85,0,1.0,0.2673133083020442,0.2983208176887776,0.9924906132665833,1.8520617291605184,0.8060075093867334,0.8839263848508144,0.9255167668674489,0.8839263848498127,0.9255167668663933,0.6948195759865318,0.7855970345892759
3.85,1,1.0,0.27763871506049226,0.2958906967042136,0.9924906132665833,1.8550848439249217,0.8254067584480601,0.8845405824594065,0.9255410726813529,0.8845405824584033,0.9255410726802972,0.6948195759865318,0.7855970345892759
3.85,2,1.0,0.27054651647893196,0.2913954943679599,0.9924906132665833,1.8648701558871201,0.8335419274092616,0.8861461480584444,0.9267130280534936,0.8861461480574376,0.9267130280524353,0.6948195759865318,0.7855970345892759
3.85,3,1.0,0.26574885273258236,0.30065707133917396,0.9924906132665833,1.853803520393079,0.827909887359199,0.8831884534702048,0.9251342440517677,0.8831884534692047,0.9251342440507131,0.6948195759865318,0.7855970345892759
