r,station,seed,window,mean_res_pair,std_res_pair,frac_res_lt_1e-3,mean_n_unique_joint,std_n_unique_joint,mean_max_mult,std_max_mult,mean_sparsity,std_sparsity,mean_alph_prod,std_alph_prod,mean_fill_frac,std_fill_frac,mean_H_joint,std_H_joint,mean_TC,std_TC,mean_TC_pair,std_TC_pair,mean_Res_TC,std_Res_TC,mean_ipf_iters,std_ipf_iters,mean_ipf_dev,std_ipf_dev,mean_mean_k_i,std_mean_k_i,frac_res_lt_1e-2,n_windows,full_res_pair,full_n_unique_joint,full_max_mult,full_sparsity,full_alph_prod,full_fill_frac,full_H_joint,full_TC,full_TC_pair,full_Res_TC,full_ipf_iters,full_ipf_dev,full_mean_k_i
3.2,S_k_p2,0,13,0.20964122810191435,0.23411760837158724,0.20535714285714285,11.366071428571429,1.089688157507571,1.90625,0.448366330216073,0.8743131868131869,0.08382216596212085,254.57142857142858,9.454509775871026,0.04470098586309523,0.004461242001496747,3.4454368249301415,0.1737148442563049,4.276045265677644,0.19538329720695852,4.058744009617854,0.2971991602607078,0.21730125605978973,0.23217754694670095,195.02678571428572,29.980040926491107,0.00031234450475623013,0.00015839402734980622,3.994419642857143,0.0369316788119962,0.4419642857142857,224.0,0.007615987472333075,32.0,34.0,0.04,256.0,0.125,4.978657673619351,3.0180770552556364,3.010461067783102,0.007615987472534336,7.0,2.5807939119104617e-11,4.0
3.2,S_k_p2,0,26,0.34837024852813714,0.14037143994903672,0.0,19.00900900900901,1.5711102145378422,2.7927927927927927,0.5713445043498352,0.7311157311157311,0.06042731594376316,256.0,0.0,0.07425394144144144,0.006137149275538446,4.128315530170693,0.140006911379541,3.7685974278225522,0.14027356171655744,3.4185905246744834,0.17350569072142724,0.35000690314806876,0.13888260703877084,108.3108108108108,85.56598934024557,9.437759869883775e-05,0.00011536030892518153,4.0,0.0,0.0,222.0,0.007615987472333075,32.0,34.0,0.04,256.0,0.125,4.978657673619351,3.0180770552556364,3.010461067783102,0.007615987472534336,7.0,2.5807939119104617e-11,4.0
3.2,S_k_p2,0,52,0.2003532700176588,0.07008708928520739,0.0,26.992592592592594,1.6124345352030576,4.303703703703704,0.6585514302486777,0.519088319088319,0.031008356446212637,256.0,0.0,0.10543981481481482,0.006298572403136944,4.583458749891442,0.09604342938358759,3.37178706237415,0.0924961701757412,3.171433792282696,0.06656714795135037,0.20035327009145498,0.07008708927628989,23.266666666666666,10.60272501660671,6.197046826312342e-11,2.000184543532628e-11,4.0,0.0,0.0,135.0,0.007615987472333075,32.0,34.0,0.04,256.0,0.125,4.978657673619351,3.0180770552556364,3.010461067783102,0.007615987472534336,7.0,2.5807939119104617e-11,4.0
3.2,S_k_p2,0,104,0.08777588647838225,0.035136306870690415,0.0,31.333333333333332,0.8226589066968621,6.9393939393939394,0.8855538906789369,0.30128205128205127,0.00791018179516215,256.0,0.0,0.12239583333333333,0.0032135113542846178,4.811344663344875,0.05139953517901868,3.1678090683723723,0.05138921515674471,3.080033181876098,0.03661447855668871,0.08777588649627484,0.03513630686778839,14.090909090909092,4.413228299333558,4.954971323817449e-11,2.4723119655316712e-11,4.0,0.0,0.0,66.0,0.007615987472333075,32.0,34.0,0.04,256.0,0.125,4.978657673619351,3.0180770552556364,3.010461067783102,0.007615987472534336,7.0,2.5807939119104617e-11,4.0
3.2,S_k_p2,1,13,0.19028249981375508,0.2154166278373805,0.25892857142857145,11.388392857142858,1.1479986883792195,1.9151785714285714,0.4972621149548674,0.8760302197802198,0.08830759141378612,255.42857142857142,6.020373573058707,0.04460797991071429,0.004599432922652083,3.447574724136591,0.18449225822311274,4.3112771192697785,0.20554322335569114,4.113758388255806,0.3052163358753905,0.19751873101397185,0.2141098591318519,191.80803571428572,37.9013490110295,0.0002904229966031112,0.0001555139294019979,3.997767857142857,0.023517084269760576,0.45089285714285715,224.0,0.0044397853394001355,32.0,35.0,0.04,256.0,0.125,4.972877391736908,3.0240289348609206,3.0195891495227194,0.004439785338201219,8.0,2.104391660928684e-11,4.0
3.2,S_k_p2,1,26,0.3013294746331353,0.1464940145858306,0.0,19.04954954954955,1.7143471887517063,2.8063063063063063,0.6319965901492116,0.7326749826749825,0.0659364303366041,256.0,0.0,0.07441230292792793,0.006696668706061353,4.130429857449571,0.15415840571954695,3.7786700181922477,0.158670750619773,3.4752547150447404,0.19770178251736373,0.3034153031475074,0.14521229025018378,125.91441441441441,85.04681736300313,0.00011786873438251902,0.00011521740567690371,4.0,0.0,0.0,222.0,0.0044397853394001355,32.0,35.0,0.04,256.0,0.125,4.972877391736908,3.0240289348609206,3.0195891495227194,0.004439785338201219,8.0,2.104391660928684e-11,4.0
3.2,S_k_p2,1,52,0.1714065758819864,0.06754234508883208,0.0,26.874074074074073,1.7188696959194052,4.2444444444444445,0.7248669524577819,0.5168091168091168,0.03305518645998856,256.0,0.0,0.10497685185185185,0.0067143347496851765,4.58138308479273,0.10256862500381361,3.379997104772767,0.10160568818207273,3.208525351853796,0.09533316961868246,0.17147175291897102,0.0675065864683371,31.28148148148148,34.84285395715005,5.696882150358721e-06,2.9071217215006788e-05,4.0,0.0,0.0,135.0,0.0044397853394001355,32.0,35.0,0.04,256.0,0.125,4.972877391736908,3.0240289348609206,3.0195891495227194,0.004439785338201219,8.0,2.104391660928684e-11,4.0
3.2,S_k_p2,1,104,0.06675879500997238,0.03237825445349176,0.0,31.393939393939394,0.7563626651120415,6.712121212121212,0.9005915819220351,0.30186480186480186,0.007272717933769641,256.0,0.0,0.12263257575757576,0.0029545416605939122,4.819633521657298,0.055960061446848765,3.162017144161503,0.05622993947553323,3.095258349134178,0.04126300144331124,0.06675879502732487,0.03237825446051882,14.348484848484848,5.070689464334197,4.573179650625324e-11,2.3544681924000104e-11,4.0,0.0,0.0,66.0,0.0044397853394001355,32.0,35.0,0.04,256.0,0.125,4.972877391736908,3.0240289348609206,3.0195891495227194,0.004439785338201219,8.0,2.104391660928684e-11,4.0
3.2,S_k_p2,2,13,0.19098588005584952,0.21242800963221709,0.20089285714285715,11.415178571428571,1.199680747817382,1.90625,0.5219779090153146,0.8780906593406594,0.09228313444749094,255.71428571428572,4.266624149448022,0.04466029575892857,0.004833706305375063,3.450917903220901,0.19348172568896818,4.311441833255057,0.20216420103568886,4.112756199983629,0.31073183609132066,0.19868563327142746,0.21110525395857005,193.39285714285714,34.35031117109451,0.00031130124349877317,0.00016007372666895846,3.9988839285714284,0.016666500583781337,0.4375,224.0,0.00979453303517204,32.0,34.0,0.04,256.0,0.125,4.973641744200578,3.023598231251392,3.013803698215871,0.009794533035520914,9.0,1.5850487589119666e-11,4.0
3.2,S_k_p2,2,26,0.2995778307723509,0.13109206191063222,0.0,18.86036036036036,1.7740257714328667,2.7387387387387387,0.6326223374436313,0.7253984753984755,0.06823176043972565,256.0,0.0,0.07367328265765766,0.006929788169659635,4.116153414623184,0.16230857479420838,3.790012653813488,0.1597174014476736,3.4882160351542093,0.20000747577655528,0.30179661865927915,0.12949324569385962,127.95495495495496,84.22908352513672,0.00012068286152608292,0.00011876510493324598,4.0,0.0,0.009009009009009009,222.0,0.00979453303517204,32.0,34.0,0.04,256.0,0.125,4.973641744200578,3.023598231251392,3.013803698215871,0.009794533035520914,9.0,1.5850487589119666e-11,4.0
