r,station,n,lam_regime,alpha3,mean_excess3_mean,mean_excess3_std,mean_excess3_sem,std_excess3_mean,std_excess3_std,std_excess3_sem,highL3_mean,highL3_std,highL3_sem,mean_res_pair_mean,mean_res_pair_std,mean_res_pair_sem,std_res_pair_mean,std_res_pair_std,std_res_pair_sem,mean_phi1_mean,mean_phi1_std,mean_phi1_sem,mean_phi2_mean,mean_phi2_std,mean_phi2_sem,mean_abs_tau_mean,mean_abs_tau_std,mean_abs_tau_sem,std_abs_tau_mean,std_abs_tau_std,std_abs_tau_sem,mean_tau_mean,mean_tau_std,mean_tau_sem,var_classical_mean,var_classical_std,var_classical_sem,ac1_classical_mean,ac1_classical_std,ac1_classical_sem,f3_share_mean,f3_share_std,f3_share_sem
3.1,S_k_p2,6,0.0,1.0,1.7365248537301199,0.002243994842940998,0.0009161070584403873,0.06770146745738209,0.0025007535626192195,0.0010209283668107115,0.3786775856839551,0.0065860026541123586,0.002688724324531835,0.19358075003603106,0.008347626305944433,0.0034079041688329873,0.22044375611777087,0.008922569566689187,0.003642623772145752,0.49521029218481444,0.00436324661612478,0.0017812879719051767,0.2927863714487918,0.005889351791834105,0.0024043178009565624,0.542756852971661,0.00217957787183404,0.0008898089401091117,0.06453190311011615,0.001342731983116529,0.0005481680366584755,0.542756852971661,0.00217957787183404,0.0008898089401091117,0.010628673715014024,2.9799238373111015e-05,1.216548812294772e-05,-0.9990312247636212,1.4845816712168808e-05,6.060779293282764e-06,0.5579503920614561,0.002901090538097044,0.001184365252659007
3.2,S_k_p2,6,0.0,1.0,1.754128979597825,0.004448035964618227,0.0018159030784771712,0.07509337585074649,0.0031261616426625795,0.0012762501463307,0.46663633606308763,0.0238910065470394,0.009753462580289795,0.19930610688182485,0.009794005428303982,0.003998385972898895,0.22550434343103354,0.008328546345434692,0.0034001148075727674,0.5027803053280759,0.0052544481986104485,0.0021451194944136403,0.31515771913861085,0.006541348393409747,0.0026704942989380664,0.5442422277431418,0.0016822447583514746,0.0006867735467387839,0.057801881392223836,0.001932971242572142,0.0007891322052958861,0.5442422277431418,0.0016822447583514746,0.0006867735467387839,0.02046666046629562,3.2636156891259625e-05,1.3323655258167165e-05,-0.9992911439448381,1.848362951409235e-05,7.545910150695605e-06,0.5487405299765197,0.0034862048847165332,0.0014232371843922935
3.3,S_k_p2,6,0.0,1.0,1.7575093921516858,0.00876843415678266,0.0035796982545514655,0.07425636941138085,0.005225852913277776,0.0021334455180612505,0.47368820139520773,0.04531463483544181,0.018499622204563335,0.18714735765651488,0.029420347096843456,0.012010806407139817,0.21356437729320402,0.01949993606895852,0.007960815564306938,0.2713830755232029,0.12012878347228038,0.04904237048806203,0.34025818926296636,0.006520545857736437,0.002662001699312124,0.16953813080412714,0.18066584018823176,0.0737565204020631,0.043884054883887504,0.012556606346989714,0.005126213075186244,0.04107583712245504,0.24258276671374407,0.09903399980688012,0.02481177537077489,0.002241523534139102,0.0009150981508468049,-0.9992482124343208,1.9339772278151194e-05,7.895428970515635e-06,0.6226454351302625,0.04406553360564855,0.017989678762883928
3.4,S_k_p2,6,0.0,1.0,1.8064500369991539,0.03130117225243001,0.012778650061569457,0.10343785342050106,0.023932794115405154,0.009770522283637756,0.635426144980285,0.07071341341703435,0.02886863014036867,0.12251168485966824,0.03037498913144318,0.0124005373857701,0.17986992429619678,0.02659894132124823,0.010858972322548196,0.3355449398443029,0.1452953736979822,0.05931658792450937,0.34841333030027294,0.04002033684203676,0.016338234099549466,0.23482691135798997,0.23352123225716212,0.09533464385600114,0.05177708674702516,0.02384806131889796,0.009735930264317471,0.16248723938394874,0.2870159604961235,0.11717377520838607,0.03459482988776618,0.002473317265119303,0.0010097275452597126,-0.9988994030398688,0.0002573445362904161,0.00010506046700077795,0.5993475860654432,0.06203483352802521,0.025325614737026627
3.44949,S_k_p4,6,0.0,1.0,1.964079845521434,0.09851091811591679,0.04021691391284863,0.17712623726589793,0.0483558120244605,0.019741177592977912,0.8521383075523202,0.09871318485907639,0.04029948896496122,0.03873141280389358,0.02515279941086918,0.010268587359867805,0.09762795416413222,0.026261731299918056,0.01072130690781287,0.5066980082903649,0.16959688660661562,0.06923763902514446,0.4748774138105348,0.10579924375286871,0.04319236039447819,0.4249802731292677,0.26599989719741857,0.10859400329440945,0.09791400230785162,0.04282028699251825,0.017481308961867566,0.41367345583524745,0.28199258401042004,0.11512299034574126,0.04035852786068279,0.0021192961689505897,0.0008651990379606925,-0.9969139245550668,0.0012462004397439327,0.0005087591991007749,0.514291140298119,0.07908981847755289,0.032288283186558214
3.48,S_k_p4,6,0.0,1.0,2.1187074470427967,0.2560627408356903,0.10453717619766179,0.09536218659661065,0.04190753702851288,0.01710868034944142,0.8860327570518655,0.10893799549508933,0.04447375042743023,0.033132850348168964,0.03339200520292533,0.013632229039254687,0.0676191503190361,0.06701458371391873,0.02735858923735476,0.6200586391669193,0.37325884752334487,0.15238228640191726,0.6534324133050248,0.33525669536221736,0.13686797274818938,0.45182639572493316,0.35697553739548477,0.14573465287912546,0.047372141222295126,0.0057681993717491895,0.0023548575325713357,0.38469839372490194,0.4273174536661606,0.17445161994458105,0.04129914850397947,0.002061230320903701,0.0008414937547612158,-0.9867035796820143,0.011474601536980785,0.0046844864612264215,0.4865745773721819,0.15445220099085596,0.06305484701289792
3.52,S_k_p4,6,0.0,1.0,2.091125686813894,0.08257505729891682,0.033711125977238326,0.19396746269472473,0.01464129903915192,0.005977285302903972,0.9523051258720049,0.048328143110670824,0.019729881806224283,0.014276486334941255,0.011250391789237781,0.004592953215005005,0.05686835530111667,0.018365486520930455,0.007497678475706978,0.36015064199777574,0.08032684087495122,0.03279329546556159,0.4074246790011122,0.07171795279964661,0.029278731626023752,0.11561899404678198,0.021557624867121088,0.008800863498463447,0.05576593653564064,0.002065761349272775,0.0008433435393469335,0.04493755110756938,0.09279005283795175,0.037881380443145325,0.04240446160779152,0.00043169705700177714,0.00017623958551925636,-0.9916409374437253,0.0027766913035805283,0.0011335794778326261,0.569317367358935,0.057085426773003205,0.023305027890478596
3.54409,S_k_p8,6,0.0,1.0,2.3677225101967347,0.017333792220342547,0.007076491041210654,0.0615361288844641,0.031893007016731825,0.013020265592332757,0.9945404913557779,0.0,0.0,1.493189089987502e-07,3.3388723018851633e-07,1.3630889093217612e-07,2.46715327121049e-06,5.51672242516746e-06,2.252192499038272e-06,0.8182691335557578,0.2289348966438566,0.09346228018237564,0.8202463097765645,0.2223643354121483,0.09077985979214259,0.5895752928431174,0.31808705555457945,0.1298584966488409,0.057440323851834674,0.018857802426473516,0.007698665602513101,0.58936174783981,0.3183889552375089,0.1299817466782884,0.04506366048509481,0.0009669647023163612,0.00039476168665955266,-0.941481155706185,0.022709408975009664,0.009271077391492404,0.3907473424973291,0.07606254152144042,0.03105240254446465
3.555,S_k_p8,6,0.0,1.0,2.370242017550034,0.0032377781652131233,0.0013218174008494806,0.06665351294831044,0.007334046620721572,0.0029941119950918534,0.9945404913557779,0.0,0.0,2.9540113015714205e-16,4.0312045518233935e-18,1.6457323667920437e-18,8.552275530774786e-17,6.112362599074651e-18,2.495361581767481e-18,0.647229804873117,0.20861821548664441,0.08516802983204438,0.649904584976241,0.2036053135312005,0.08312152117847145,0.36156977713193433,0.30921514016588714,0.12623655235826722,0.056516580820330814,0.028190341578721488,0.011508658757105406,0.36156977713193433,0.30921514016588714,0.12623655235826722,0.04485650815238251,0.0010044719498736626,0.0004100739563548259,-0.9511651913615778,0.021279760691480226,0.008687425923776915,0.4467869391996901,0.07121060080081114,0.029071606039835746
3.557946,S_k_p8,6,0.0,1.0,2.3733005526472817,0.011152928306948319,0.004553163914977678,0.05657079606226784,0.02917106449630487,0.011909037211627553,0.9945404913557779,0.0,0.0,3.0202622146673494e-16,1.2585923888871996e-17,5.138181911540287e-18,6.544031137485483e-17,3.30333465291305e-17,1.348580724881791e-17,0.6689288241836012,0.2126683573344893,0.08682149331756321,0.6670521180871498,0.21015601195896141,0.08579583261294915,0.5759364078605395,0.22342966157052838,0.0912147773750877,0.0940016043463548,0.05350829170464854,0.02184466861406447,0.5759364078605395,0.22342966157052838,0.0912147773750877,0.04638803564282326,0.0009881041820601136,0.0004033918431262351,-0.9326022504697241,0.015070535761199879,0.0061525204608843635,0.4421364684484244,0.08624728788227419,0.03521030783508309
