r,station,n,lam_regime,alpha3,mean_excess3_mean,mean_excess3_std,mean_excess3_sem,std_excess3_mean,std_excess3_std,std_excess3_sem,highL3_mean,highL3_std,highL3_sem,mean_res_pair_mean,mean_res_pair_std,mean_res_pair_sem,std_res_pair_mean,std_res_pair_std,std_res_pair_sem,mean_phi1_mean,mean_phi1_std,mean_phi1_sem,mean_phi2_mean,mean_phi2_std,mean_phi2_sem,mean_abs_tau_mean,mean_abs_tau_std,mean_abs_tau_sem,std_abs_tau_mean,std_abs_tau_std,std_abs_tau_sem,mean_tau_mean,mean_tau_std,mean_tau_sem,var_classical_mean,var_classical_std,var_classical_sem,ac1_classical_mean,ac1_classical_std,ac1_classical_sem,f3_share_mean,f3_share_std,f3_share_sem
3.2,S_k_p2,3,0.0,1.0,1.7533910558798222,0.006243682227320079,0.00360479161467773,0.07784729813383741,0.003916567188513748,0.0022612311205876686,0.45548135781858656,0.03690661556365327,0.021308044430553248,0.1996706363774217,0.012217241699469764,0.0070536277839435895,0.2244305806833189,0.009957103998541236,0.005748736673906882,0.5042663698757188,0.009381686971917484,0.005416519498689365,0.3207684103134854,0.007002313918398897,0.004042787825737867,0.5442075071704702,0.0036120462366538374,0.0020854158670574677,0.055799521919619434,0.0033523519613338363,0.0019354813072944605,0.5442075071704702,0.0036120462366538374,0.0020854158670574677,0.020447517335870417,3.416011504608675e-05,1.9722351617406773e-05,-0.9992920644919975,1.5977781186946666e-05,9.224776269336597e-06,0.5454797017976212,0.004663763275678304,0.00269262498264956
3.4,S_k_p2,3,0.0,1.0,1.8116539205515274,0.03325439968905779,0.019199436612216923,0.10328203123125383,0.019198843158696563,0.011084457265802867,0.6547022815804119,0.07890195425629329,0.04555406452945847,0.11756410945430813,0.04176166884821659,0.024111110751325857,0.17440747793160938,0.035433617907350716,0.020457608837171282,0.35744759784826563,0.14266752026088167,0.08236913122723642,0.3626437581153774,0.05145605525596115,0.029708167353465428,0.21866576496206125,0.2491698851367364,0.1438583002576429,0.05185249718831616,0.02853007189314646,0.016471844687507484,0.19496484311299123,0.26592534527361933,0.15353206967806832,0.03485083715319031,0.002238201459450072,0.0012922262151141126,-0.9988989945280125,0.0002145088252582665,0.00012384672800641057,0.5859009474473579,0.06165166759685957,0.0355946068830362
3.5,S_k_p4,3,0.0,1.0,1.979914059302206,0.009391824442006709,0.005422372369774281,0.18309387645239714,0.008862274292107708,0.005116636448180685,0.9065108514190318,0.011261049718891528,0.0065015700865597836,0.032994292962477745,0.006140670214754107,0.003545317601493001,0.09420997824533049,0.012893798470136497,0.007444238017610092,0.33296234464848823,0.011341731471785858,0.006548151718312016,0.38589083657948436,0.009122776371883952,0.005267037394063957,0.08333453240860648,0.002378910343384365,0.0013734645271309483,0.05738403480693691,0.0032525764214059874,0.0018778758724585765,0.05362384529051195,0.008443638957783208,0.004874937225216147,0.04128834441004262,2.2953995737422043e-05,1.3252495617978139e-05,-0.9960293838436304,0.00012964705958583907,7.485176475152764e-05,0.5794141789686197,0.0068944687274608545,0.003980523375718981
3.55,S_k_p8,3,0.0,1.0,2.1414188282435447,0.13813551007773697,0.0797525739280277,0.1682529637107488,0.036232544894469206,0.020918869548246996,0.9557595993322204,0.02420221394321941,0.01397315473510264,0.00929007579215059,0.005423509381893742,0.003131264601588813,0.042091979980168386,0.015611755477780813,0.009013451227619368,0.29799666110183637,0.14294335626493634,0.08252838521842958,0.3275946021146355,0.13190705499180239,0.07615657370752787,0.14933163544274652,0.011329590496528806,0.006541142122979133,0.052909829232633404,0.011925215773456847,0.006885026536949682,-0.05619226452559784,0.13880668498624094,0.0801400769421258,0.04377311107621732,0.00014450122169269638,8.342781924250805e-05,-0.9870324265917784,0.012043247900069862,0.00695317241702273,0.6291130332266796,0.09610564036387594,0.05548661733472514
3.565,S_inf_minus,3,0.0,1.0,2.2885681821944934,0.0990198357487128,0.05716912882463187,0.12170267013169866,0.06362407505645985,0.03673337686078805,0.9863661658319421,0.005115407988550459,0.0029533821792043697,0.0018864002288051553,0.002667772787639559,0.0015402393370804578,0.015529741130533216,0.02196237052694323,0.012679980535772978,0.3528102392877017,0.07737374044143672,0.044671749872071724,0.36408597662771286,0.07075765826532843,0.04085195304671492,0.2462013295346628,0.18094746490099076,0.10447006756976739,0.07450253355294632,0.02158357614805452,0.012461283499154064,0.15493731234471972,0.2605774395482997,0.15044445486795427,0.04564561136998283,0.0013478877105613908,0.0007782033325300074,-0.9616956450416853,0.02479079585959482,0.01431297266296213,0.5846757987793998,0.053987489207856704,0.031169691427028086
3.5699456,S_inf,3,0.0,1.0,2.364423000036193,0.0124103712629807,0.007165131189425103,0.08054867834396613,0.019576631377592607,0.011302573395679166,0.989983305509182,0.0,0.0,2.9095999117424086e-16,1.3407298032423398e-17,7.74070712812519e-18,8.953278704561506e-17,1.879634716990973e-17,1.0852076098329044e-17,0.419449081803005,0.058460852922820626,0.03375238917204561,0.42104665182711926,0.05727097935241482,0.033065415345870194,0.24780928947595615,0.17533593911996248,0.10123025164952618,0.05098511016958404,0.00950923107295236,0.005490157119755399,0.2353676844417585,0.1860644757959748,0.10742437518743266,0.045902406513069295,0.00133470004352529,0.0007705894294167315,-0.9491168998880659,0.015233095140564623,0.008794831579996165,0.5429322685140292,0.033253105885295016,0.019198689634266207
3.6,S_post_acc,3,0.10714285714285794,1.3443877551020436,2.3399541735749874,0.026918082161432346,0.015541161981971429,0.11314317511088483,0.031946635098046954,0.018444398373560156,0.9894268224819144,0.0007869858443923703,0.0004543664891083599,9.693846733219804e-05,0.0001328231172467155,7.668546249699642e-05,0.0011716744696431082,0.0016212057481380768,0.0009360035750992873,0.24299758857354847,0.018104000746373198,0.010452349704327752,0.25058430717863106,0.014914092279741121,0.008610655192427456,0.06368408683223498,0.006161986813003987,0.0035576247452307765,0.05231928845732752,0.004782881839285523,0.0027613981174136695,0.00558888984814911,0.009555997871566578,0.005517157943524455,0.04667077555371907,6.714121019467961e-05,3.8763995779615525e-05,-0.9491782173420709,0.0011404450605502325,0.0006584362627046559,0.7323432761377516,0.012838393037302123,0.007412249676048598
3.7,S_ch,3,0.4642857142857151,2.8239795918367383,1.9405569889871446,0.01270858529660926,0.007337305142016677,0.1796630704505918,0.007648399716743408,0.004415805635331664,0.8697829716193656,0.029019936277200706,0.016754668021507615,0.00736418727858103,0.0019863770171075477,0.0011468353055391286,0.0344195076573802,0.007302400667345054,0.00421604299102217,0.2722129475051011,0.0037353052431093083,0.00215657948761458,0.2719092005193841,0.0056683367182195675,0.0032726157301215075,0.06089863497270905,0.004959242838275771,0.00286322018765524,0.048553720542320385,0.004856766244188441,0.0028040552984732845,0.027132675280823432,0.006288022301507425,0.003630391368445682,0.04984530318092504,0.00013256810299008695,7.653822994728474e-05,-0.8908501905587549,0.001861877820498356,0.0010749556608629196,0.830941764436925,0.002733966089471623,0.00157845605771175
3.8,S_ch,3,0.8214285714285706,4.813775510204076,1.784813765695449,0.004627297266172859,0.0026715713222453196,0.12405612919135774,0.0054826821785526735,0.0031654280316685502,0.6046188091263217,0.009742427045081579,0.00562479287703814,0.014743672695586725,0.00573129091628543,0.00330896235332145,0.06567707238313907,0.01857935208896129,0.010726793929930638,0.2538953811908737,0.008200654319493817,0.004734649978890823,0.2927518085698386,0.0038687453885891546,0.002233621191528072,0.1174602146824369,0.009369340473816027,0.0054093912446869395,0.09394938955337662,0.0118778793562411,0.006857696843727698,-0.008493050159716827,0.013181576766937668,0.00761038689473518,0.046696378115953154,0.0004292298814658456,0.00024781598760853713,-0.7363488115029339,0.0016431132528858942,0.0009486518788627126,0.8715178287857581,0.0016253846513798226,0.0009384162660108266
3.85,S_ch,3,1.0,6.0,1.8606988291253177,0.004654056545983667,0.0026870207996474104,0.112781242679711,0.0041039039849293584,0.002369390070427343,0.8363939899833054,0.02387370558610198,0.013783490346689853,0.007195159244592422,0.0004390628705525008,0.00025349306650465615,0.04349182605969962,0.0036563423458936127,0.002110990237651105,0.2732795399740308,0.006844150543637844,0.003951472158743633,0.2978065294008533,0.005855817062727772,0.003380857557491083,0.11852619260026666,0.012492707049832226,0.007212667778127771,0.09603806492441669,0.016588755732415382,0.00957752258763097,0.03833683463313093,0.008708869263176232,0.005028068013432056,0.055572613733296895,0.0005392112258551648,0.0003113137463975475,-0.6861155748257565,0.005971206862500653,0.003447477889451693,0.883734194025933,0.0020407120244739065,0.0011782056366685162
