r,seed,station,mean_excess3,std_excess3,highL3,mean_res_pair,std_res_pair,mean_phi1,mean_phi2,mean_abs_tau,std_abs_tau,mean_tau,var_classical,ac1_classical,lam_regime,f3_share,alpha3
3.2,42000,S_k_p2,1.7463383254950726,0.07935113276888531,0.41485809682804675,0.18245856797010862,0.21083485110225597,0.5122426265998887,0.3303561491374513,0.5479654090765202,0.059451501192687835,0.5479654090765202,0.02049512115318308,-0.9993115921649245,0.0,0.5402122587792931,1.0
3.2,42017,S_k_p2,1.7615184641304231,0.08171199308680321,0.5041736227045075,0.2069728232083481,0.22805307416869447,0.4910962715637173,0.31382860322760153,0.5393320671098449,0.05659167686480668,0.5393320671098449,0.02041658958530665,-0.9992724550103023,0.0,0.5515509463792676,1.0
3.2,42034,S_k_p2,1.7523163780139703,0.07247876854582372,0.44741235392320533,0.20958051795380842,0.23440381677900618,0.5094602114635504,0.3181204785754035,0.5453250453250453,0.051355387701363796,0.5453250453250453,0.02043084126912152,-0.9992921463007656,0.0,0.5446759002343029,1.0
3.4,44000,S_k_p2,1.858547785668903,0.13018739947085653,0.7662771285475793,0.06632545353663717,0.13429384701750863,0.5589872008903728,0.43449499165275457,0.5710344182566405,0.09219504557659065,0.5710344182566405,0.03801612579788939,-0.9985972260230931,0.0,0.4991179864135828,1.0
3.4,44017,S_k_p2,1.7851236928748775,0.08667193711798028,0.6001669449081803,0.11774713299809449,0.16845498009184887,0.24846967167501388,0.3167362270450751,0.044868197645975424,0.032234933655947685,0.008716078160522606,0.03326276084861152,-0.9990767652315125,0.0,0.636567758325693,1.0
3.4,44034,S_k_p2,1.7912902831108017,0.09298675710492464,0.5976627712854758,0.16861974182819275,0.22047360668547064,0.26488592097941016,0.33670005564830274,0.040094678983567875,0.031127512332410123,0.0051440329218107005,0.03327362481307002,-0.999022992329432,0.0,0.6220170976027979,1.0
3.5,45000,S_k_p4,1.9852573141603571,0.17510349901537037,0.9223706176961602,0.03193969805871785,0.08311832751557846,0.3291597106288258,0.38450890372843627,0.08474344585455697,0.06085544156530009,0.053051886385219724,0.041287781825884565,-0.9958462510980605,0.0,0.5810948198774134,1.0
3.5,45017,S_k_p4,1.966711678331012,0.17872693268253048,0.8998330550918197,0.026056497098043748,0.08722158957223687,0.32136894824707846,0.3754730105731775,0.07998431609542721,0.05303473593416376,0.04358039080261302,0.041260517135726885,-0.9961286533465494,0.0,0.5868914382795554,1.0
3.5,45034,S_k_p4,1.9877731854152494,0.19545119765929048,0.8973288814691152,0.04098668373067164,0.11229001764817613,0.34835837506956036,0.39769059543683916,0.08527583527583528,0.05826192692134687,0.06423925868370313,0.041316734268516425,-0.9961132470862817,0.0,0.5702562787488902,1.0
3.55,45500,S_k_p8,2.336337199102057,0.11732927629875789,0.989983305509182,0.0016770013017042118,0.020401601362532322,0.4991652754590985,0.5134390651085141,0.1396910702466258,0.0361023767934888,0.1396910702466258,0.04397446240935631,-0.970005362440719,0.0,0.4943520486846766,1.0
