r,seed,station,mean_excess3,std_excess3,highL3,mean_res_pair,std_res_pair,mean_phi1,mean_phi2,mean_abs_tau,std_abs_tau,mean_tau,var_classical,ac1_classical,lam_regime,f3_share,alpha3
3.1,41000,S_k_p2,1.7327932363013547,0.06810200498845018,0.36578707916287534,0.19281628401220693,0.20786575636075497,0.4889293296936608,0.2939300879587504,0.5408111845497586,0.06612685573054064,0.5408111845497586,0.010666048362629023,-0.999041349886151,0.0,0.5595479589678747,1.0
3.1,41017,S_k_p2,1.7351235331262327,0.06389093422401959,0.37443130118289353,0.19491396685721782,0.22621527674081662,0.5009857446163178,0.29800576281468,0.5423561305645401,0.06311068207084015,0.5423561305645401,0.010662094702684963,-0.999036065695077,0.0,0.5545150529948585,1.0
3.1,41034,S_k_p2,1.7371345049676412,0.06755146453624397,0.3830755232029117,0.1836036483952207,0.22075570506059133,0.49689111313315126,0.29084774037003336,0.5463249425772277,0.06654487964650728,0.5463249425772277,0.01059115762079265,-0.9990184481359776,0.0,0.5580160563628823,1.0
3.1,41051,S_k_p2,1.736917147861609,0.07023563896536798,0.38398544131028206,0.183572901285417,0.20925398616286453,0.49931756141947226,0.29808917197452234,0.5433834903670369,0.06342972715860754,0.5433834903670369,0.010643867122410285,-0.9990160159335982,0.0,0.5550054586535608,1.0
3.1,41068,S_k_p2,1.7369676533017948,0.06539734980248707,0.3817106460418562,0.20699973363371152,0.2277889996756542,0.49059751289050646,0.2808386411889596,0.5440377974655853,0.0635430608335449,0.5440377974655853,0.010605155093233596,-0.9990187986032057,0.0,0.5631674087683642,1.0
3.1,41085,S_k_p2,1.7402130468220884,0.07103141222772374,0.3830755232029117,0.1995779660324123,0.2307828127059435,0.494540491355778,0.2950068243858053,0.5396275723058174,0.06443621322065636,0.5396275723058174,0.010603719388333627,-0.9990566703277184,0.0,0.5574504166211962,1.0
3.2,42000,S_k_p2,1.7466781336407122,0.07611532446007013,0.42584167424931757,0.17980602347812358,0.20892756764730977,0.5078101304215953,0.32264558689717926,0.5454557883716933,0.05905592609019818,0.5454557883716933,0.0205255152745863,-0.9993170072995643,0.0,0.5449548260034699,1.0
3.2,42017,S_k_p2,1.7593173630765782,0.08011206943377175,0.4940855323020928,0.2008871985792253,0.23408974396255006,0.49992417349105245,0.31797088262056417,0.5424752730511414,0.05956808726996594,0.5424752730511414,0.020441180197832226,-0.9992693319626723,0.0,0.5487315081327717,1.0
3.2,42034,S_k_p2,1.752313041744606,0.07487748723628873,0.4531392174704277,0.20058501167166393,0.2270441549887375,0.5031088868668486,0.31426296633303,0.5430553602400038,0.05399853451431567,0.5430553602400038,0.020446802026133606,-0.9992890017951777,0.0,0.5488899583600578,1.0
3.2,42051,S_k_p2,1.7586131140758412,0.07572056949916171,0.48453139217470426,0.20301859878583134,0.23235230783710914,0.5091750075826508,0.32036700030330606,0.5472448788262316,0.0574854309819546,0.5472448788262316,0.020429980811421285,-0.9992689064520532,0.0,0.5452278017955109,1.0
3.2,42068,S_k_p2,1.7564547794316465,0.07422874340141787,0.48635122838944495,0.19892145199830863,0.22833478177899888,0.49325144070367005,0.30246436154079465,0.5443737402146909,0.05948215592454433,0.5443737402146909,0.0204898515076054,-0.9992913211506325,0.0,0.5555296718746234,1.0
3.2,42085,S_k_p2,1.751397445617566,0.0695060610737687,0.45586897179253866,0.21261835677779634,0.22227750437149607,0.5034121929026387,0.313235517136791,0.5428483257550899,0.05722115357236431,0.5428483257550899,0.02046663298019491,-0.9993112950089285,0.0,0.5491094136926837,1.0
3.3,43000,S_k_p2,1.7585916534245338,0.07428373946020977,0.47952684258416745,0.18286113798561351,0.19734952090774935,0.25174400970579314,0.33557779799818016,0.041152986765418204,0.031650216654715846,0.008519664369755778,0.02450178595796589,-0.9992684001277128,0.0,0.6287149595424947,1.0
